median-dij,sigma,MAD
0.030,167.883,0.309
0.060,210.021,0.193
0.090,245.037,0.145
0.120,278.417,0.118
0.150,309.971,0.102
0.180,343.090,0.091
0.210,377.730,0.082
0.240,412.242,0.076
0.270,451.399,0.072
0.300,489.377,0.069
0.330,535.439,0.066
0.360,578.303,0.064
0.390,625.359,0.063
0.420,679.503,0.062
0.450,739.637,0.061
0.480,804.772,0.060
0.510,869.799,0.060
0.540,958.952,0.059
0.570,1051.869,0.059
0.600,1152.413,0.059
0.630,1276.077,0.059
0.660,1421.411,0.059
0.690,1592.951,0.059
0.720,1795.853,0.059
0.750,2046.580,0.059
0.780,2371.844,0.059
0.810,2804.365,0.059
0.840,3378.698,0.059
0.870,4235.925,0.059
0.900,5588.863,0.060
0.930,8083.612,0.060
0.960,14447.380,0.060
0.990,58993.682,0.061
