median-dij,sigma,MAD
0.030,168.028,4.005
0.060,209.247,2.377
0.090,243.875,1.678
0.120,276.642,1.281
0.150,311.506,0.994
0.180,344.270,0.803
0.210,380.722,0.660
0.240,412.503,0.557
0.270,451.535,0.471
0.300,489.046,0.408
0.330,532.473,0.350
0.360,574.767,0.305
0.390,623.970,0.269
0.420,677.684,0.237
0.450,736.852,0.212
0.480,802.953,0.189
0.510,875.484,0.171
0.540,956.368,0.157
0.570,1051.457,0.143
0.600,1154.697,0.134
0.630,1280.769,0.125
0.660,1421.372,0.119
0.690,1588.894,0.114
0.720,1790.794,0.110
0.750,2044.851,0.106
0.780,2368.874,0.105
0.810,2793.477,0.103
0.840,3390.345,0.102
0.870,4229.355,0.102
0.900,5586.557,0.102
0.930,8107.136,0.103
0.960,14379.495,0.104
0.990,58795.365,0.109
