median-dij,sigma,MAD
0.030,2.265,0.054
0.060,2.522,0.052
0.090,2.740,0.051
0.120,2.969,0.050
0.150,3.116,0.049
0.180,3.288,0.049
0.210,3.431,0.049
0.240,3.558,0.049
0.270,3.747,0.050
0.300,3.866,0.050
0.330,4.045,0.050
0.360,4.264,0.050
0.390,4.436,0.051
0.420,4.570,0.051
0.450,4.789,0.052
0.480,5.000,0.052
0.510,5.226,0.053
0.540,5.504,0.053
0.570,5.755,0.054
0.600,6.054,0.055
0.630,6.326,0.055
0.660,6.640,0.056
0.690,7.093,0.057
0.720,7.488,0.058
0.750,8.069,0.059
0.780,8.599,0.060
0.810,9.247,0.062
0.840,10.374,0.063
0.870,11.422,0.065
0.900,13.149,0.068
0.930,15.736,0.071
0.960,21.471,0.078
0.990,42.820,0.093
