median-dij,sigma,MAD
0.030,177.973,1.254
0.060,222.114,0.790
0.090,258.952,0.580
0.120,294.475,0.461
0.150,328.663,0.378
0.180,362.907,0.319
0.210,400.340,0.270
0.240,437.189,0.235
0.270,476.897,0.209
0.300,519.565,0.181
0.330,563.176,0.164
0.360,611.622,0.146
0.390,663.170,0.130
0.420,716.041,0.122
0.450,779.846,0.110
0.480,849.791,0.103
0.510,927.876,0.093
0.540,1017.299,0.089
0.570,1107.997,0.084
0.600,1221.048,0.078
0.630,1352.971,0.074
0.660,1507.303,0.070
0.690,1684.330,0.069
0.720,1902.324,0.067
0.750,2164.617,0.065
0.780,2515.839,0.063
0.810,2961.871,0.062
0.840,3588.686,0.062
0.870,4476.221,0.061
0.900,5926.875,0.061
0.930,8582.333,0.061
0.960,15247.994,0.061
0.990,62324.678,0.062
