median-dij,sigma,MAD
0.030,178.033,27.034
0.060,221.500,17.124
0.090,258.378,12.635
0.120,294.225,9.820
0.150,331.041,7.963
0.180,365.026,6.574
0.210,400.758,5.550
0.240,438.241,4.788
0.270,476.943,4.090
0.300,518.260,3.608
0.330,563.752,3.151
0.360,611.790,2.764
0.390,665.575,2.374
0.420,720.397,2.064
0.450,784.049,1.828
0.480,853.638,1.609
0.510,930.647,1.423
0.540,1009.682,1.237
0.570,1110.944,1.091
0.600,1222.818,0.948
0.630,1347.812,0.807
0.660,1503.973,0.708
0.690,1680.636,0.601
0.720,1890.474,0.515
0.750,2172.734,0.432
0.780,2500.592,0.366
0.810,2953.911,0.300
0.840,3575.967,0.247
0.870,4483.608,0.204
0.900,5917.194,0.165
0.930,8600.664,0.135
0.960,15211.932,0.117
0.990,62047.036,0.111
