median-dij,sigma,MAD
0.030,0.812,0.316
0.060,0.892,0.240
0.090,0.977,0.190
0.120,1.044,0.169
0.150,1.106,0.145
0.180,1.155,0.131
0.210,1.212,0.121
0.240,1.259,0.112
0.270,1.321,0.104
0.300,1.404,0.094
0.330,1.444,0.092
0.360,1.483,0.088
0.390,1.563,0.085
0.420,1.605,0.081
0.450,1.685,0.076
0.480,1.770,0.073
0.510,1.844,0.072
0.540,1.926,0.068
0.570,2.024,0.067
0.600,2.130,0.065
0.630,2.207,0.064
0.660,2.355,0.062
0.690,2.462,0.060
0.720,2.629,0.061
0.750,2.862,0.059
0.780,3.033,0.058
0.810,3.301,0.057
0.840,3.637,0.056
0.870,4.016,0.055
0.900,4.663,0.056
0.930,5.657,0.056
0.960,7.471,0.058
0.990,15.026,0.064
