median-dij,sigma,MAD
0.030,175.292,0.544
0.060,218.214,0.351
0.090,254.552,0.265
0.120,288.752,0.218
0.150,323.761,0.184
0.180,358.527,0.162
0.210,392.405,0.147
0.240,430.216,0.135
0.270,469.282,0.125
0.300,510.901,0.117
0.330,555.730,0.112
0.360,601.092,0.107
0.390,652.014,0.104
0.420,708.063,0.101
0.450,766.442,0.099
0.480,838.170,0.097
0.510,914.808,0.095
0.540,993.797,0.094
0.570,1092.088,0.094
0.600,1201.522,0.093
0.630,1326.886,0.092
0.660,1476.834,0.091
0.690,1655.829,0.092
0.720,1865.137,0.092
0.750,2139.369,0.092
0.780,2475.700,0.092
0.810,2916.417,0.092
0.840,3517.735,0.092
0.870,4412.722,0.092
0.900,5846.042,0.092
0.930,8442.411,0.093
0.960,15081.146,0.094
0.990,61016.272,0.095
