median-dij,sigma,MAD
0.030,175.242,8.910
0.060,218.843,5.517
0.090,255.244,3.943
0.120,288.858,3.083
0.150,323.805,2.462
0.180,357.826,2.032
0.210,393.372,1.697
0.240,429.731,1.432
0.270,470.418,1.223
0.300,509.003,1.047
0.330,552.935,0.916
0.360,600.588,0.791
0.390,652.973,0.687
0.420,706.960,0.611
0.450,767.739,0.528
0.480,836.499,0.470
0.510,913.200,0.412
0.540,999.344,0.369
0.570,1091.545,0.327
0.600,1203.759,0.292
0.630,1325.830,0.263
0.660,1480.314,0.237
0.690,1650.317,0.215
0.720,1868.827,0.198
0.750,2134.044,0.182
0.780,2471.523,0.169
0.810,2901.791,0.160
0.840,3526.168,0.153
0.870,4414.626,0.148
0.900,5797.252,0.144
0.930,8468.574,0.142
0.960,15115.602,0.142
0.990,61276.715,0.147
