median-dij,sigma,MAD
0.030,1.873,0.090
0.060,2.120,0.085
0.090,2.290,0.083
0.120,2.417,0.081
0.150,2.536,0.080
0.180,2.690,0.079
0.210,2.824,0.079
0.240,2.954,0.078
0.270,3.054,0.078
0.300,3.192,0.077
0.330,3.338,0.077
0.360,3.500,0.077
0.390,3.599,0.077
0.420,3.760,0.077
0.450,3.964,0.078
0.480,4.094,0.077
0.510,4.295,0.078
0.540,4.520,0.079
0.570,4.672,0.079
0.600,4.938,0.080
0.630,5.178,0.080
0.660,5.455,0.081
0.690,5.796,0.083
0.720,6.111,0.083
0.750,6.627,0.084
0.780,7.054,0.086
0.810,7.717,0.088
0.840,8.356,0.090
0.870,9.433,0.092
0.900,10.793,0.095
0.930,13.007,0.100
0.960,17.472,0.106
0.990,35.354,0.120
