median-dij,sigma,MAD
0.030,181.806,0.724
0.060,223.522,0.474
0.090,262.199,0.352
0.120,298.844,0.281
0.150,333.970,0.237
0.180,369.054,0.206
0.210,404.257,0.184
0.240,444.837,0.164
0.270,483.931,0.152
0.300,525.005,0.142
0.330,571.251,0.133
0.360,619.973,0.127
0.390,673.036,0.120
0.420,729.777,0.117
0.450,793.666,0.113
0.480,862.745,0.110
0.510,937.769,0.106
0.540,1029.621,0.105
0.570,1131.376,0.104
0.600,1239.042,0.102
0.630,1367.950,0.102
0.660,1526.796,0.102
0.690,1708.706,0.101
0.720,1927.537,0.101
0.750,2218.407,0.100
0.780,2542.626,0.101
0.810,3006.406,0.100
0.840,3636.889,0.100
0.870,4553.095,0.100
0.900,6025.481,0.100
0.930,8713.043,0.101
0.960,15541.428,0.101
0.990,63060.305,0.102
