median-dij,sigma,MAD
0.030,181.014,14.020
0.060,225.006,8.754
0.090,263.978,6.365
0.120,299.686,4.857
0.150,334.246,3.954
0.180,368.953,3.256
0.210,406.250,2.760
0.240,443.943,2.317
0.270,485.250,1.966
0.300,527.748,1.716
0.330,571.106,1.486
0.360,619.629,1.289
0.390,670.390,1.146
0.420,728.552,0.989
0.450,793.117,0.865
0.480,868.129,0.751
0.510,941.793,0.669
0.540,1032.789,0.592
0.570,1136.337,0.508
0.600,1238.785,0.457
0.630,1375.702,0.397
0.660,1529.763,0.352
0.690,1703.870,0.314
0.720,1933.230,0.278
0.750,2199.912,0.250
0.780,2554.305,0.225
0.810,3012.300,0.205
0.840,3631.694,0.190
0.870,4559.383,0.177
0.900,6006.409,0.167
0.930,8742.836,0.163
0.960,15550.014,0.162
0.990,63251.521,0.164
