median-dij,sigma,MAD
0.030,1.595,0.117
0.060,1.785,0.108
0.090,1.956,0.103
0.120,2.040,0.103
0.150,2.192,0.098
0.180,2.297,0.097
0.210,2.401,0.096
0.240,2.510,0.096
0.270,2.607,0.094
0.300,2.764,0.093
0.330,2.848,0.092
0.360,2.999,0.092
0.390,3.114,0.091
0.420,3.183,0.090
0.450,3.404,0.090
0.480,3.500,0.089
0.510,3.666,0.089
0.540,3.855,0.089
0.570,4.021,0.088
0.600,4.150,0.089
0.630,4.457,0.089
0.660,4.703,0.089
0.690,4.987,0.090
0.720,5.289,0.091
0.750,5.603,0.091
0.780,6.000,0.092
0.810,6.522,0.094
0.840,7.178,0.095
0.870,7.973,0.097
0.900,9.341,0.101
0.930,11.273,0.105
0.960,14.738,0.111
0.990,29.843,0.125
